S. No.,Product_Name,Cost(in $),Material,Lead time,Warranty,Weight,Volume(in mm^3),working area(mm^2),Cost per mm^3,Working area to volume ratio,Average density of machine
1,Hot Sale 3 Axis Cnc Router Multifunction 1325 1530 Wood CNC Router Machine for Woodworking Acrylic PVC MDF Engraving Cutting,3600.0,Wood,32.74311926605505,3.0,900.0,650000000.0,3250000.0,5.5384615384615385e-06,0.005,1.3846153846153846e-06
2,3 Axis CNC Router Wood Engraving Machine CNC Wooden Cutter for Furniture Door Making,2900.0,Wood,31.0,1.0,860.0,13616000000.0,3250000.0,2.1298472385428908e-07,0.000238689776733255,6.316098707403056e-08
3,Reasonable Prices China Milling and Drilling Cnc Machine,52000.0,Plastic,30.0,1.0,3050.0,5985000000.0,2800000.0,8.688387635756056e-06,0.00046783625730994154,5.096073517126149e-07
4,LEYO Taiwan VMC 5-axis Cnc Milling Machine 5 Axis Cnc Machine Vertical Machining Centre 3 Axis Cnc Milling Machine,19400.0,Steel,15.0,1.5,3800.0,7958000000.0,300000.0,2.4377984418195526e-06,3.769791404875597e-05,4.775069112842423e-07
5,XK6325 CNC Milling Machine,7000.0,Steel,45.0,1.0,1700.0,4230000000.0,322580.0,1.6548463356973996e-06,7.626004728132388e-05,4.0189125295508274e-07
6,Supertech P1530HD Heavy Duty Plasma Cutter | 1500x3000mm Cutting Area | High Precision CNC Plasma Cutting Machine for Steel,9000.0,Steel,30.0,1.5,1500.0,8400000000.0,5100000.0,1.0714285714285714e-06,0.0006071428571428571,1.7857142857142858e-07
8,Amada Steel CNC Turret Punching Machine,55000.0,Steel,40.0,1.0,14000.0,50211670000.0,1500000.0,1.0953628907383482e-06,2.9873533383773134e-05,2.788196449152159e-07
9,3 Axis Cnc Machine for Metal Cnc Milling Machine Vmc1160 Ultra Precision Cnc Machining Center,9999.0,Steel,20.0,1.0,6800.0,21700000000.0,720000.0,4.6078341013824886e-07,3.3179723502304144e-05,3.1336405529953916e-07
10,Cnc Machine Price Wood Cnc Machine 1325S CNC Woodworking Machine for Furniture,17500.0,Wood,25.0,1.0,1800.0,16872000000.0,3250000.0,1.0372214319582741e-06,0.00019262683736367948,1.0668563300142247e-07
11,Cutter Machine CNC Fiber Laser Cutting Machine Sheet Metal 4000*1500mm 2000W with Factory Price,2350.0,Steel,32.74311926605505,3.0,2550.0,12000000000.0,6000000.0,1.9583333333333335e-07,0.0005,2.125e-07
12,Medium Working Size Best Sale 6090 Woodworking Mini Cnc Machine,2300.0,Aluminum,15.0,1.0,250.0,2880000000.0,540000.0,7.986111111111111e-07,0.0001875,8.680555555555556e-08
13,Hot New Small CNC 600x900mm Hobby Cnc 6090 Cnc Router Machine,1800.0,Aluminum,7.0,3.0,150.0,2761836000.0,540000.0,6.51740364018718e-07,0.0001955221092056154,5.4311697001559834e-08
14,Hot Selling Professional CNC Manufacturer CK52ST Servo Turret 3 Axis Robotic Arm Low Price CNC Machine,22600.0,Aluminum,45.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
15,Direct Factory Superior Customer Care Competitive Price 3 Axis Cnc Milling Machine for Sale,23000.0,Iron,20.0,1.0,4000.0,13455000000.0,378000.0,1.7094017094017095e-06,2.8093645484949833e-05,2.9728725380899293e-07
16,Small Cnc Machine Vmc640 Mini Cnc Milling Machine Vertical Machining Center with CE Certificate,29000.0,Aluminum,31.0,1.0,2300.0,7480000000.0,240000.0,3.877005347593583e-06,3.20855614973262e-05,3.0748663101604277e-07
17,CNC Lathe Machine Metal CNC Milling Machine and Vertical Machining Center EDM Wire Cutting Machine,3500.0,Steel,30.0,1.0,1350.0,3654000000.0,220500.0,9.578544061302681e-07,6.03448275862069e-05,3.6945812807881775e-07
18,"New Design 3 Axis 1325 Cnc Router Machine for Wood , Hobby Cnc Machine with Best Price",6000.0,Wood,32.74311926605505,1.0,1500.0,650000000.0,3250000.0,9.23076923076923e-06,0.005,2.3076923076923077e-06
19,Auto Feeding High Efficiency Automatic CNC Studs Bolts Stud Welder Welding 2 Axis 3 Weld Head Machine for Beams with Multi-Head,35000.0,Steel,25.0,1.0,1800.0,24840000000.0,2640000.0,1.4090177133655394e-06,0.00010628019323671498,7.246376811594203e-08
20,GMF2519 PLC Controlled Gantry CNC Planer Milling Machining Center Metal Processing CNC Machine,130900.0,Steel,60.0,1.0,26000.0,145420506000.0,4000000.0,9.001481537961366e-07,2.750643709079103e-05,1.787918410901417e-07
21,TCK6350b 3 Axis CNC Machine for Precision Metal Turning with High Performance Spindle and Enhanced Productivity,23000.0,Aluminum,15.0,1.0,4300.0,10914750000.0,1880304.0575808103,2.1072402024782978e-06,0.00017227183926162397,3.9396229872420347e-07
22,Hot Sale Multifunctional Machine Tool Automatic Milling Machine CNC Mini CNC Lathe Machine,55797.0,Steel,30.0,1.0,4700.0,8403782992.0,1880304.0575808103,6.639509855634787e-06,0.00022374495621445365,5.592719379443967e-07
24,Leyan Vertical Metal Cnc Machine Center Heavy Duty Cnc Milling Machine,69007.0,Metal,30.0,1.0,12000.0,38668480000.0,1280000.0,1.784580102450368e-06,3.3101895911088305e-05,3.1033027416645287e-07
25,Cnc Lathe Machine Cnc Turning Machine Cnc Desktop 3 Axis for Metal Direct Sales Diy,50000.0,unknown,14.0,5.0,22500.0,166320000000.0,560000.0,3.0062530062530064e-07,3.367003367003367e-06,1.3528138528138527e-07
26,Cnc Turning Machine Trade Assurance Widely Used Superior Quality Cnc Turning and Lathe 2 Axis Machine,20000.0,Metal,60.0,1.0,2500.0,8096000.0,1880304.0575808103,0.0024703557312252965,0.23225099525454673,0.00030879446640316206
27,"CK52ST 3-Axis CNC Machine CE Certified, 5Î¼m High Precision & OEM-Compatible Design for Metal /Drilling",22600.0,Steel,45.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
28,Multi Function Door CNC Machine,26000.0,Steel,30.0,1.0,3400.0,21987480000.0,3125000.0,1.1824911267685065e-06,0.00014212633735198395,1.5463345503895853e-07
29,Fanuc CNC Turret Punching Machine 32 Stations with 2 Index Stations,74000.0,Wood,60.0,1.0,13000.0,50211670000.0,1880304.0575808103,1.4737609802661412e-06,3.744755069052294e-05,2.589039559927005e-07
30,Top Quality Mini Cnc Router Machine 3 Axis ATC Cnc Router 1325 Wood Lathe Machine for Mdf Board Panel Door Making,2300.0,Aluminum,31.0,1.0,400.0,2880000000.0,540000.0,7.986111111111111e-07,0.0001875,1.3888888888888888e-07
31,Aluminum Milling Cutting Tapping Machining Cnc Machine,52000.0,Aluminum,179.0,1.0,8000.0,7500000000.0,7500000.0,6.933333333333334e-06,0.001,1.0666666666666667e-06
32,High Cost-effective Lathe CK52ST CNC Customized Automatic 3 Axis Machine,22600.0,Aluminum,25.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
33,Small Cnc Machine Vmc640 Mini Cnc Milling Machine Vertical Machining Center with CE Certificate,29000.0,Aluminum,31.0,1.0,2300.0,7480000000.0,240000.0,3.877005347593583e-06,3.20855614973262e-05,3.0748663101604277e-07
34,Hight Precision Desktop 5 Axis Foam Model Cnc Metal Router Manufacture Kit Complete Machine Metal 3000x6000 for 3d Statue Carv,144000.0,Metal,90.0,2.0,44000.0,624000000000.0,22750000.0,2.3076923076923078e-07,3.6458333333333336e-05,7.051282051282051e-08
35,5 Axis Cnc Router Machine for ABS Plastic Trimming Cutting,60000.0,Plastic,100.0,1.0,5000.0,5400000000.0,6000000.0,1.1111111111111112e-05,0.0011111111111111111,9.259259259259259e-07
36,High Quality swiss Type Cnc Lathe Machine CK52D High Quality CNC Lathe Machine with Most Popular Type,7000.0,unknown,30.0,1.0,4000.0,7817760000.0,150000.0,8.953971470088618e-07,1.918708172161847e-05,5.116555125764925e-07
37,Direct Factory Superior Customer Care Competitive Price 3 Axis Cnc Milling Machine for Sale,23000.0,Iron,20.0,1.0,4000.0,13455000000.0,378000.0,1.7094017094017095e-06,2.8093645484949833e-05,2.9728725380899293e-07
38,"Economic Type CK46A CNC Lathe Machine, 5.5kw Servo Motor, 2-Axis, High-Performance for Metalworking",9800.0,unknown,45.0,1.0,2400.0,6352500000.0,270000.0,1.5426997245179064e-06,4.250295159386068e-05,3.7780401416765054e-07
39,MX650 5 Axis Full Closed-loop Control Mini CNC Metal Milling Machine Vertical Machining Center,153000.0,Metal,75.0,1.0,8000.0,59783328000.0,357500.0,2.5592419344737716e-06,5.979928049505708e-06,1.3381657173719069e-07
40,Large CNC Milling Machine GMC 1613 Heavy Cutting Double Column Gantry Type CNC Machining Center,25000.0,Steel,20.0,1.083,14000.0,48600000000.0,2860000.0,5.1440329218107e-07,5.8847736625514405e-05,2.8806584362139917e-07
41,Milling Machine Furniture Cnc Cutting Multi Head 4 Axis Automatic Wood Cnc Router 4 Axis Cnc Milling and Lathe Machine,17850.0,Steel,20.0,2.0,1800.0,16253688000.0,3250000.0,1.0982122949573044e-06,0.00019995461953004143,1.1074409697048449e-07
42,Han's Robot 10kg Load Collaborative Robot Arm Welding Service Gearbox Mechanical Arm with PLC Core Components,45000.0,Metal,7.0,1.0,80.0,640000000.0,1880304.0575808103,7.03125e-05,0.002937975089970016,1.25e-07
44,Woodworking Furniture SUDIAO 1325 Cnc Router Machine,3300.0,unknown,20.0,3.0,115.0,594000000.0,3250000.0,5.555555555555556e-06,0.005471380471380472,1.936026936026936e-07
45,5 Axis CNC Milling Machine Made in China at a Good Price,49777.94,unknown,60.0,1.0,6300.0,25272000000.0,350000.0,1.96968740107629e-06,1.384931940487496e-05,2.492877492877493e-07
46,Cnc Lathe Machine Cnc Turning Machine Cnc Desktop 3 Axis for Metal Direct Sales Diy,50000.0,Metal,14.0,5.0,6200.0,90652500000.0,560000.0,5.515567689804473e-07,6.17743581258101e-06,6.839303935357547e-08
47,Gantry Machining Center GMC1313 GMC1613 GMC2016 CNC Gantry Machining Center,22500.0,unknown,20.0,1.1,14000.0,48600000000.0,2860000.0,4.6296296296296297e-07,5.8847736625514405e-05,2.8806584362139917e-07
48,Automatic Machine for CNC Metal Spinning CNC Milling and Engraving Machine with High Precision,36000.0,Metal,30.0,1.0,1900.0,5309500000.0,300000.0,6.780299463226293e-06,5.650249552688577e-05,3.5784913833694324e-07
49,5 Axis CNC Machine Price VMC5030 CNC Vertical Machining Center,21000.0,unknown,15.0,1.0,2100.0,6498000000.0,210000.0,3.231763619575254e-06,3.231763619575254e-05,3.2317636195752537e-07
50,High Quality CNC Milling Machine Metal Milling Machine Vertical Metal CNC Machine Center,3999.0,Iron,7.0,2.0,350.0,48000000.0,160000.0,8.33125e-05,0.0033333333333333335,7.291666666666667e-06
51,VMC640 VMC650 VMC850 VMC855 Heavy Duty CNC Universal Machining Center Machine Horizontal Fanuc Control System BT40 Spindle Taper,23888.0,unknown,15.0,3.0,5500.0,17639100000.0,500000.0,1.3542641064453402e-06,2.83461174322953e-05,3.118072917552483e-07
52,"CNC 25kva Foot Pedal Spot Welding Machine, Stainless Steel Special Welding Machine",620.0,Steel,20.0,1.0,165.0,493334000.0,202500.0,1.2567550584391101e-06,0.00041047241828051585,3.344590074878277e-07
53,China Low Price High Quality BT55 Power Machining Industrial Automatic Lathe Stock Cnc Machine Cnc Milling Machine for Sale,27777.78,Aluminum,30.0,1.0,3200.0,7833600000.0,180000.0,3.5459788602941174e-06,2.2977941176470588e-05,4.0849673202614377e-07
54,Engine-Powered Production Line CNC Sheet MetalPanel Bender Press Brake Full Automatic Bending Center,75000.0,Steel,30.0,1.0,21000.0,28704000000.0,6160000.0,2.612876254180602e-06,0.00021460423634336677,7.316053511705686e-07
55,XH7126 CNC Universal Milling Machine Milling Machine CNC Milling Machine for Metal,14400.0,Metal,30.0,2.0,2800.0,15120600000.0,320000.0,9.523431609856751e-07,2.1163181355237225e-05,1.8517783685832573e-07
56,Manipulator and Punching Stainless Steel Coils 3D Metal Letters Bender Signs Making CNC Auto Channel Letter Bending Machine,1900.0,Steel,16.0,2.0,550.0,4720198000.0,688500.0,4.025254872782879e-07,0.00014586252525847432,1.1652053579108335e-07
58,CNC Milling Machine 3/4/5 Axis Vmc1690 CNC Machine Price,45000.0,Aluminum,30.0,1.5,13000.0,40704300000.0,1620000.0,1.1055343047294758e-06,3.9799234970261126e-05,3.193765769218486e-07
59,3D Laser Crystal Engraving Machine Brand Laser Crystal Machine,1900.0,Acrylic,7.0,2.0,280.0,1323786000.0,1170000.0,1.4352773031290556e-06,0.0008838286550847342,2.115145499348082e-07
60,Taiwan Hot Sale Cnc Machining Center CNC Milling Machine,12654.0,unknown,45.0,1.0,3000.0,13200000000.0,360000.0,9.586363636363637e-07,2.7272727272727273e-05,2.2727272727272726e-07
61,30T 1000MM 1200MM 1600MM NC Small Mini Metal Bending Machines CNC Sheet Press Brake with TP10S,3500.0,Copper,25.0,2.0,1500.0,2524500000.0,2560000.0,1.3864131511190335e-06,0.0010140621905327788,5.941770647653001e-07
62,Cnc Metal Milling Machine VMC850 Vertical Milling Machine Cnc Machine Center,18000.0,Aluminum,15.0,5.0,5000.0,14950000000.0,500000.0,1.2040133779264215e-06,3.3444816053511705e-05,3.3444816053511706e-07
64,5 Axis Linkage CNC Machine Tool CMC650U Vertical Milling Machine,200000.0,Steel,30.0,1.0,8500.0,35682360000.0,351000.0,5.605010430924412e-06,9.836793306272343e-06,2.3821294331428752e-07
65,Heavy Duty CNC Operation Metal Milling Machine VTC1010 Accuracy Metal Cnc Manufacturing Metal Lathe,36800.0,Metal,34.0,1.0,10500.0,19246500000.0,785398.1633974483,1.912035954589146e-06,4.080732410554897e-05,5.455537370430987e-07
66,CNC Multi-cut Wire Cut EDM Machine DK7745 High Precision Good Surface Roughness Linear Guide Rail WEDM,4850.0,unknown,25.0,2.0,1300.0,3974040000.0,247000.0,1.2204205292347334e-06,6.215337540638745e-05,3.2712302845467083e-07
67,3 Axis Mini CNC Machining Center Woodworking Engraving Machine for Milling for Wood Routers,4500.0,Wood,31.0,1.0,1300.0,10710000000.0,3250000.0,4.2016806722689076e-07,0.0003034547152194211,1.2138188608776845e-07
69,VMC855 3/4 Axis CNC Vertical Machining Center Wholesale High Precision Siemens Control China Supplier Metal-Working Machine,16800.0,Metal,45.0,1.0,11000.0,9282000000.0,500000.0,1.8099547511312218e-06,5.3867700926524454e-05,1.185089420383538e-06
71,"China 6090 Desktop Cnc Router , 4 Axis Cnc Milling Machine for Metal",3000.0,Metal,15.0,1.0,500.0,81000000.0,540000.0,3.7037037037037037e-05,0.006666666666666667,6.172839506172839e-06
72,Industrial Gantry Robot Automatic Loading and Unloading Woodworking CNC XY Axis Linear Motion,12500.0,unknown,35.0,0.0,200.0,3000000000.0,2250000.0,4.166666666666667e-06,0.00075,6.666666666666667e-08
73,Vertical Cnc Milling Machine 5 Axis Vmc 650 Centro De Mecanizado Cnc Vmc Aluminium Cnc Milling Machine Center,19499.0,Aluminum,15.0,1.0,3800.0,12240000000.0,320000.0,1.5930555555555556e-06,2.61437908496732e-05,3.104575163398693e-07
74,4-10mm 3d Cnc Wire Forming Machine Flat Wireframe Bending Machine Autometic Stainless Wire Bending Machine,28200.0,Steel,31.0,1.0,2000.0,8100000000.0,2250000.0,3.4814814814814816e-06,0.0002777777777777778,2.469135802469136e-07
75,10-Axis CNC Cutting Machine - High Precision Automated Fabrication Equipment,39999.0,unknown,25.0,1.0,2000.0,13260000000.0,34636.05900582747,3.0165158371040724e-06,2.612070814919115e-06,1.5082956259426848e-07
76,JPZ160A China Manufacturer Famous Brand Cnc Digital Control Steel Plate Drilling Machine,80000.0,Steel,90.0,1.0,3000.0,132000000.0,1650000.0,0.0006060606060606061,0.0125,2.2727272727272726e-05
77,Stable CNC Strong Gantry Plasma Cutting Machine CNC Computer Controlled for Sheet Metal Processing and Gas Cutting,8790.0,Steel,15.0,1.0,1500.0,24000000000.0,12000000.0,3.6625e-07,0.0005,6.25e-08
78,CNC Machinery Factory with High Quality and Best Price,8600.0,Aluminum,25.0,1.0,1800.0,5236000000.0,119475.0,1.6424751718869366e-06,2.2817990832696715e-05,3.437738731856379e-07
79,CNC Controlled Induction Hardening Scanner for Shafts/gears Heat Treatment/quenching,17000.0,Steel,30.0,1.0,1000.0,3750000000.0,560000.0,4.533333333333334e-06,0.00014933333333333332,2.6666666666666667e-07
80,High speed milling machine Vertical Machining Center VMC855 VMC1055 VMC1160 Good Price Metal CNC Milling Machine,18000.0,Iron,30.0,1.0,5500.0,18988800000.0,550000.0,9.479271991911021e-07,2.89644421975059e-05,2.89644421975059e-07
81,XINTIHO CNC 4030 3D Coordinate Measuring Instrument Optical Measuring Instruments VMM Video Measuring Machine,20000.0,Granite,30.0,1.0,420.0,705600000.0,646100.0,2.834467120181406e-05,0.0009156746031746031,5.952380952380952e-07
82,Automatic CNC Grinding Machine Used for Iron Castings,69500.0,unknown,90.0,1.0,4500.0,15066000000.0,159043.12808798326,4.613035975043144e-06,1.0556426927385056e-05,2.986857825567503e-07
83,SAH4030 Heavy Duty CNC Turning Lathe Machine Horizontal Slant Bed Lathe CNC Machine Price,3000.0,Aluminum,30.0,1.0,1500.0,4852848000.0,125400.0,6.181936875006182e-07,2.584049613752584e-05,3.090968437503091e-07
84,Supertech Z5035 220V Automatic CNC Vertical Column Drilling Machine New Hydraulic Bench Drill Gear Multifunctional Motor Engine,2650.0,Iron,30.0,1.0,545.0,1200000000.0,156000.0,2.2083333333333335e-06,0.00013,4.541666666666667e-07
85,Double Spindle CNC 7090 Milling Engraving Machine,9900.0,Steel,35.0,1.0,2500.0,126000000.0,720000.0,7.857142857142857e-05,0.005714285714285714,1.984126984126984e-05
86,Multifunctional Milling Machine Designed with Cutting - Edge Technology to Meet Complex Machining Needs Precise Feed System,21000.0,Steel,30.0,1.0,2800.0,9651450000.0,450000.0,2.175838863590445e-06,4.662511850550953e-05,2.90111848478726e-07
87,TCK6350b 3 Axis CNC Machine for Efficient Metal Turning with Optimized Tool Change and Advanced Process Control,23000.0,Metal,15.0,1.0,4300.0,10914750000.0,311724.5310524472,2.1072402024782978e-06,2.8559933214452663e-05,3.9396229872420347e-07
88,High Efficiency Digital CNC Knife Cutter Leather Shoe Upper Cutting Machine With Auto Feeding Conveyor Table,10800.0,Leather,15.0,3.0,1300.0,11484000000.0,4000000.0,9.404388714733542e-07,0.00034831069313827936,1.1320097526994078e-07
90,12-Spindle CNC Machine with Simultaneous Drilling Tapping Milling Operations Featuring Core Engine Motor Bearing Components,35666.0,Aluminum,30.0,1.0,3200.0,8379000000.0,105000.0,4.256593865616422e-06,1.2531328320802006e-05,3.8190714882444204e-07
91,China Suppliers 5 Axis Automatic High Precision Cheap Price VMC850 Metal CNC Milling Machine Vertical Machining Center for Sale,15999.0,Metal,30.0,1.0,5200.0,16848000000.0,550000.0,9.496082621082621e-07,3.264482431149098e-05,3.08641975308642e-07
92,XK7120 Mini CNC milling machine Manufacturer of 3-axis and 4-axis CNC milling machines,4590.0,Steel,30.0,1.0,600.0,6048000000.0,90000.0,7.589285714285714e-07,1.4880952380952381e-05,9.920634920634921e-08
93,High Quality 6-Axis CNC Tool Grinder Universal Cutters Grinding Machine for Drills and Mills,185500.0,Steel,30.0,1.0,3500.0,5208000000.0,85500.0,3.5618279569892474e-05,1.641705069124424e-05,6.720430107526881e-07
94,VT1370 High-Performance Automatic CNC Milling Machine Economical Multi-Functional Vertical Machining Center High-Accuracy Made,38000.0,Aluminum,60.0,1.0,6200.0,19019520000.0,980000.0,1.99794737196312e-06,5.1526011171680464e-05,3.259808870045091e-07
95,New Style Electric Hydraulic Cnc Press Brake and Bending Machine for Sheet Metal Processing,8888.0,Copper,25.0,2.0,2800.0,5401750000.0,96000.0,1.6453926968112186e-06,1.77720183273939e-05,5.183505345489887e-07
96,Industrial Cnc Router and Engraving Machine 3d Cnc Router Lathe Woodworking Machine for Cabinet Making,8000.0,Wood,35.0,1.0,3500.0,3000000000.0,10000000.0,2.666666666666667e-06,0.0033333333333333335,1.1666666666666666e-06
97,FRT-2217 Heavy Cutting Cnc Gantry Type Machining Center 3/4/5 Axis Cnc Milling Machine,98009.0,unknown,90.0,1.0,22000.0,46800000000.0,2800000.0,2.094209401709402e-06,5.982905982905983e-05,4.700854700854701e-07
98,Automatic 3 Axis CNC Machine for Metal Turning and Milling Mini Machine for Sale,11400.0,Metal,30.0,1.5,2200.0,640332000.0,138000.0,1.780326455651131e-05,0.00021551320252618955,3.4357177214320073e-06
99,High Efficiency Digital CNC Knife Cutter Leather Shoe Upper Cutting Machine With Auto Feeding Conveyor Table,10800.0,unknown,15.0,3.0,1300.0,11484000000.0,4000000.0,9.404388714733542e-07,0.00034831069313827936,1.1320097526994078e-07
100,Wind Blade Mould Milling 5 Axis Cnc Machine Center,700000.0,unknown,120.0,2.0,80000.0,1350000000000.0,1880304.0575808103,5.185185185185186e-07,1.39281782043023e-06,5.925925925925926e-08
101,24000RPM 9KW CNC Router Machine Wood Working Inverter 11kw 800hz and ATC Spindle Motor,1510.0,Wood,15.0,1.5,29.6,47125000.0,1880304.0575808103,3.2042440318302384e-05,0.03990035135449995,6.281167108753316e-07
103,OMC 5 Axis Quartz Granite Marble Stone CNC Milling Cutting Bridge Saw Machine,51400.0,unknown,40.0,1.0,6500.0,106045582650.0,8740000.0,4.846972284516935e-07,8.241738865112454e-05,6.129439659408576e-08
104,Hot Sale Cnc Woodworking Machine Cnc Wood Router with Good Price,3899.0,Wood,35.0,1.0,1600.0,11968000000.0,3250000.0,3.257854278074866e-07,0.00027155748663101604,1.3368983957219251e-07
105,TCK6350b 3 Axis CNC Machine for Precision Metal Turning with High Speed Spindle and Consistent Quality,23000.0,Metal,15.0,1.0,4300.0,10914750000.0,311724.5310524472,2.1072402024782978e-06,2.8559933214452663e-05,3.9396229872420347e-07
106,2024 Good Quality Cnc Milling Machine for Mould Making,7500.0,Brass,15.0,2.0,1800.0,9643696000.0,160000.0,7.777101227579136e-07,1.6591149285502157e-05,1.8665042946189926e-07
107,Vacuum Suction CNC Milling Machine Rotary Table Platform for CNC Machining,510.0,Aluminum,5.0,1.5,15.0,2700000.0,90000.0,0.00018888888888888888,0.03333333333333333,5.555555555555556e-06
109,Heavy Duty Multiple Functions Alloy Desktop CDC Series Lathe Milling Cnc Machine With Tool Holder,5600.0,Alloy,20.0,1.0,2500.0,5009400000.0,1500000.0,1.117898351099932e-06,0.000299437058330339,4.990617638838983e-07
110,High Precision Metal Sheet Nc Servo Roll Feeder for Aluminium Coil Feeding Line Punching Press Machine,2100.0,Aluminum,32.0,1.0,150.0,864000000.0,40000.0,2.4305555555555557e-06,4.6296296296296294e-05,1.7361111111111112e-07
111,CNC Lathe Machine Use for Widely Construction Area Works CNC Lathe,23800.0,Steel,3.0,1.0,2200.0,18000000000.0,500500.0,1.3222222222222222e-06,2.7805555555555555e-05,1.2222222222222222e-07
112,Remax Cnc Mold Making Metal Milling Machinery 6060 Cnc Engraving Machine for Metal,3500.0,Brass,25.0,1.0,500.0,72000000.0,360000.0,4.861111111111111e-05,0.005,6.944444444444445e-06
113,High Precision CNC Lathe Milling Machine Horizontal Machining Center Metal Processing Milling CNC Lathe Horizontal Center,18000.0,Aluminum,30.0,1.0,24000.0,87526172727.0,952000.0,2.056527714989116e-07,1.0876746581497991e-05,2.7420369533188214e-07
114,EDM tool High-precision electrical discharge CNC machine tool Servo control,6570.0,Steel,10.0,1.0,1000.0,929500000.0,511500.0,7.06831629908553e-06,0.0005502958579881657,1.0758472296933835e-06
